TITLE,GLUCOSA 50
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,19/02/15
TIME,16:22:11
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,399.1927
LASTX,4000.6047
NPOINTS,3736
FIRSTY,0.02660
MAXY,1.31924
MINY,0.00100
XYDATA,
643.1437,0.122582
644.1080,0.12023
645.0722,0.117647
646.0364,0.114981
647.0007,0.112439
647.9649,0.11021
648.9291,0.108372
649.8934,0.106861
650.8576,0.105512
651.8218,0.104156
652.7861,0.102715
653.7503,0.101249
654.7145,0.0999245
655.6788,0.0989251
656.6430,0.0983455
657.6072,0.098141
658.5715,0.0981585
659.5357,0.0982243
660.4999,0.0982308
661.4642,0.0981646
662.4284,0.0980532
663.3926,0.0978856
664.3569,0.0975902
665.3211,0.0970775
666.2853,0.0963066
667.2496,0.0953538
668.2138,0.0944823
669.1780,0.0940762
670.1423,0.0942903
671.1065,0.0948707
672.0707,0.0954343
673.0350,0.0957299
673.9992,0.0956817
674.9634,0.0953434
675.9277,0.0948411
676.8919,0.0943222
677.8561,0.0939164
678.8204,0.0937192
679.7846,0.0937863
680.7488,0.0941176
681.7131,0.0946366
682.6773,0.0952052
683.6415,0.0956847
684.6058,0.0960002
685.5700,0.09616
686.5342,0.0962243
687.4985,0.0962574
688.4627,0.0962976
689.4269,0.0963504
690.3912,0.0964089
691.3554,0.0964699
692.3196,0.0965367
693.2839,0.0966165
694.2481,0.0967218
695.2123,0.0968761
696.1766,0.0971102
697.1408,0.0974422
698.1050,0.0978515
699.0693,0.0982683
700.0335,0.0985943
700.9977,0.0987485
701.9620,0.0987077
702.9262,0.0985143
703.8904,0.0982362
704.8547,0.0979216
705.8189,0.0975533
706.7831,0.0970575
707.7474,0.0963564
708.7116,0.0954269
709.6758,0.0943246
710.6401,0.0931557
711.6043,0.0920174
712.5685,0.0909469
713.5328,0.0899116
714.4970,0.0888442
715.4612,0.0874001
716.4255,0.0862546
717.3897,0.0851471
718.3539,0.0841692
719.3182,0.0833898
720.2824,0.0828272
721.2466,0.0824452
722.2109,0.082176
723.1751,0.0819492
724.1393,0.0817104
725.1036,0.0814221
726.0678,0.0810593
727.0320,0.0806096
727.9963,0.0800809
728.9605,0.0795084
729.9247,0.0789501
730.8890,0.0784671
731.8532,0.078096
732.8174,0.0778292
733.7817,0.0776175
734.7459,0.0773936
735.7101,0.0771049
736.6744,0.0767339
737.6386,0.0762952
738.6028,0.0758187
739.5671,0.075331
740.5313,0.07485
741.4955,0.0743892
742.4598,0.0739629
743.4240,0.0735838
744.3882,0.0732589
745.3525,0.0729896
746.3167,0.0727793
747.2809,0.0726398
748.2452,0.0725838
749.2094,0.0726069
750.1736,0.0726733
751.1379,0.0727246
752.1021,0.0727133
753.0663,0.0726409
754.0306,0.072571
754.9948,0.0726009
755.9590,0.0728106
756.9233,0.0732217
757.8875,0.0737953
758.8517,0.074466
759.8160,0.0751857
760.7802,0.0759439
761.7444,0.0767541
762.7087,0.0776197
763.6729,0.0785064
764.6371,0.0793422
765.6014,0.0800412
766.5656,0.0805357
767.5298,0.0807926
768.4941,0.0808061
769.4583,0.0805729
770.4225,0.0800679
771.3868,0.0792361
772.3510,0.0780095
773.3152,0.0763384
774.2795,0.074222
775.2437,0.0717213
776.2079,0.0689492
777.1722,0.0660463
778.1364,0.0631559
779.1006,0.0604076
780.0649,0.0579104
781.0291,0.055744
781.9933,0.0539441
782.9576,0.0524878
783.9218,0.0512918
784.8860,0.050236
785.8503,0.0492056
786.8145,0.0481336
787.7787,0.0470169
788.7430,0.0459008
789.7072,0.0448426
790.6714,0.0438787
791.6357,0.0430136
792.5999,0.0422319
793.5641,0.0415178
794.5284,0.0408647
795.4926,0.0402685
796.4568,0.0397126
797.4211,0.0391603
798.3853,0.0385644
799.3495,0.0378906
800.3138,0.0371375
801.2780,0.0363399
802.2422,0.0355524
803.2065,0.0348232
804.1707,0.034176
805.1349,0.0336076
806.0992,0.0330989
807.0634,0.0326273
808.0276,0.0321717
808.9919,0.0317111
809.9561,0.0312241
810.9203,0.0306966
811.8846,0.0301333
812.8488,0.0295619
813.8130,0.0290214
814.7773,0.0285388
815.7415,0.0281117
816.7057,0.0277099
817.6700,0.0272975
818.6342,0.026859
819.5984,0.0264093
820.5627,0.0259795
821.5269,0.0255928
