,,,,,
TITLE,GLUCOSA 5,,,,
DATA TYPE,INFRARED SPECTRUM,,,,
ORIGIN,JASCO,,,,
OWNER,,,,,
DATE,19/02/15,,,,
TIME,16:01:16,,,,
SPECTROMETER/DATA SYSTEM,,,,,
LOCALE,1033,,,,
RESOLUTION,,,,,
DELTAX,0.964233,,,,
XUNITS,1/CM,,,,
YUNITS,ABSORBANCE,,,,
FIRSTX,399.1927,,,,
LASTX,4000.6047,,,,
NPOINTS,3736,,,,
FIRSTY,-0.00239,,,,
MAXY,1.11787,,,,
MINY,-0.00239,,,,
XYDATA,,,,,
840.8116,0.0567128,,,,
841.7758,0.0574175,,,,
842.7401,0.0578456,,,,
843.7043,0.0579946,,,,
844.6685,0.0579042,,,,
845.6328,0.0576444,,,,
846.5970,0.0572901,,,,
847.5612,0.0568938,,,,
848.5255,0.0564709,,,,
849.4897,0.0560074,,,,
850.4539,0.0554841,,,,
851.4182,0.0549031,,,,
852.3824,0.0542992,,,,
853.3466,0.0537298,,,,
854.3109,0.0532496,,,,
855.2751,0.0528847,,,,
856.2393,0.0526185,,,,
857.2036,0.0523969,,,,
858.1678,0.052148,,,,
859.1320,0.051809,,,,
860.0963,0.0513498,,,,
861.0605,0.0507837,,,,
862.0247,0.0501596,,,,
862.9890,0.0495364,,,,
863.9532,0.0489519,,,,
864.9174,0.0484014,,,,
865.8817,0.0478432,,,,
866.8459,0.0472292,,,,
867.8101,0.0465492,,,,
868.7744,0.0458569,,,,
869.7386,0.0452609,,,,
870.7028,0.0448795,,,,
871.6671,0.0447867,,,,
872.6313,0.0449841,,,,
873.5955,0.0454169,,,,
874.5598,0.0460251,,,,
875.5240,0.0467948,,,,
876.4882,0.0477766,,,,
877.4525,0.0490585,,,,
878.4167,0.0507173,,,,
879.3809,0.052783,,,,
880.3452,0.0552388,,,,
881.3094,0.0580517,,,,
882.2736,0.0612045,,,,
883.2379,0.0647012,,,,
884.2021,0.0685431,,,,
885.1663,0.0726956,,,,
886.1306,0.0770711,,,,
887.0948,0.0815413,,,,
888.0590,0.0859647,,,,
889.0233,0.0902098,,,,
889.9875,0.094161,,,,
890.9517,0.0977137,,,,
891.9160,0.100775,,,,
892.8802,0.103281,,,,
893.8444,0.105209,,,,
894.8087,0.106593,,,,
895.7729,0.107495,,,,
896.7371,0.107976,,,,
897.7014,0.10807,,,,
898.6656,0.107784,,,,
899.6298,0.107122,,,,
900.5941,0.106118,,,,
901.5583,0.104855,,,,
902.5225,0.103447,,,,
903.4868,0.102023,,,,
904.4510,0.100689,,,,
905.4152,0.0995196,,,,
906.3795,0.0985534,,,,
907.3437,0.0978044,,,,
908.3079,0.0972691,,,,
909.2722,0.0969293,,,,
910.2364,0.09675,,,,
911.2006,0.0966767,,,,
912.1649,0.0966381,,,,
913.1291,0.0965566,,,,
914.0933,0.0963653,,,,
915.0576,0.0960234,,,,
916.0218,0.0955217,,,,
916.9860,0.0948717,,,,
917.9503,0.0940826,,,,
918.9145,0.0931403,,,,
919.8787,0.0920025,,,,
920.8430,0.0906161,,,,
921.8072,0.0889478,,,,
922.7714,0.0870084,,,,
923.7357,0.0848574,,,,
924.6999,0.0825863,,,,
925.6641,0.0802934,,,,
926.6284,0.0780635,,,,
927.5926,0.0759617,,,,
928.5568,0.0740354,,,,
929.5211,0.0723183,,,,
930.4853,0.070833,,,,
931.4495,0.0695959,,,,
932.4138,0.0686271,,,,
933.3780,0.0679599,,,,
934.3422,0.0676414,,,,
935.3065,0.0677156,,,,
936.2707,0.0681969,,,,
937.2349,0.0690503,,,,
938.1992,0.0701966,,,,
939.1634,0.0715426,,,,
940.1276,0.0730205,,,,
941.0919,0.0746116,,,,
942.0561,0.0763407,,,,
943.0203,0.0782488,,,,
943.9846,0.0803649,,,,
944.9488,0.0826944,,,,
945.9130,0.0852272,,,,
946.8773,0.0879506,,,,
947.8415,0.0908531,,,,
948.8057,0.0939183,,,,
949.7700,0.0971188,,,,
950.7342,0.100424,,,,
951.6984,0.103817,,,,
952.6627,0.107314,,,,
953.6269,0.110962,,,,
954.5911,0.114819,,,,
955.5554,0.118927,,,,
956.5196,0.123299,,,,
957.4838,0.127926,,,,
958.4481,0.132804,,,,
959.4123,0.137947,,,,
960.3765,0.143395,,,,
961.3408,0.1492,,,,
962.3050,0.155413,,,,
963.2692,0.162084,,,,
964.2335,0.169263,,,,
965.1977,0.177014,,,,
966.1619,0.185411,,,,
967.1262,0.194537,,,,
968.0904,0.204475,,,,
969.0546,0.215306,,,,
970.0189,0.227112,,,,
970.9831,0.239968,,,,
971.9473,0.25393,,,,
972.9116,0.269015,,,,
973.8758,0.285176,,,,
974.8400,0.302298,,,,
975.8043,0.32019,,,,
976.7685,0.33859,,,,
977.7327,0.357165,,,,
978.6970,0.37551,,,,
979.6612,0.393153,,,,
980.6254,0.409597,,,,
981.5897,0.42437,,,,
982.5539,0.4371,,,,
983.5181,0.447573,,,,
984.4824,0.455746,,,,
985.4466,0.461719,,,,
986.4108,0.465687,,,,
987.3751,0.467897,,,,
988.3393,0.468636,,,,
989.3035,0.468251,,,,
990.2678,0.467171,,,,
991.2320,0.465903,,,,
992.1962,0.464993,,,,
993.1605,0.464955,,,,
994.1247,0.466195,,,,
995.0889,0.468961,,,,
996.0532,0.473327,,,,
997.0174,0.479212,,,,
997.9816,0.486408,,,,
998.9459,0.49461,,,,
999.9101,0.50344,,,,
1000.8743,0.512464,,,,
1001.8386,0.521224,,,,
1002.8028,0.529302,,,,
1003.7670,0.536386,,,,
1004.7313,0.542326,,,,
1005.6955,0.547134,,,,
1006.6597,0.550934,,,,
1007.6240,0.553873,,,,
1008.5882,0.556055,,,,
1009.5524,0.557527,,,,
1010.5167,0.558319,,,,
1011.4809,0.558495,,,,
1012.4451,0.558175,,,,
1013.4094,0.55751,,,,
1014.3736,0.556628,,,,
1015.3378,0.555597,,,,
1016.3021,0.554423,,,,
1017.2663,0.553096,,,,
1018.2305,0.551619,,,,
1019.1948,0.550018,,,,
1020.1590,0.548294,,,,
1021.1232,0.546389,,,,
1022.0875,0.544161,,,,
1023.0517,0.541434,,,,
1024.0160,0.538061,,,,
1024.9802,0.53398,,,,
1025.9445,0.529215,,,,
1026.9087,0.523838,,,,
1027.8729,0.517918,,,,
1028.8372,0.511496,,,,
1029.8014,0.504602,,,,
1030.7656,0.497282,,,,
1031.7299,0.48961,,,,
1032.6941,0.481679,,,,
1033.6583,0.473571,,,,
1034.6226,0.465355,,,,
1035.5868,0.457099,,,,
1036.5510,0.4489,,,,
1037.5153,0.440883,,,,
1038.4795,0.43318,,,,
1039.4437,0.425896,,,,
1040.4080,0.419089,,,,
1041.3722,0.412777,,,,
1042.3364,0.406969,,,,
1043.3007,0.401688,,,,
1044.2649,0.396958,,,,
1045.2291,0.39278,,,,
1046.1934,0.389096,,,,
1047.1576,0.385802,,,,
1048.1218,0.382773,,,,
1049.0861,0.379913,,,,
1050.0503,0.377172,,,,
1051.0145,0.374537,,,,
1051.9788,0.372,,,,
1052.9430,0.369547,,,,
1053.9072,0.367164,,,,
1054.8715,0.364867,,,,
1055.8357,0.362723,,,,
1056.7999,0.36085,,,,
1057.7642,0.359393,,,,
1058.7284,0.358498,,,,
1059.6926,0.358283,,,,
1060.6569,0.358841,,,,
1061.6211,0.360236,,,,
1062.5853,0.362494,,,,
1063.5496,0.365587,,,,
1064.5138,0.369401,,,,
1065.4780,0.373727,,,,
1066.4423,0.378268,,,,
1067.4065,0.382683,,,,
1068.3707,0.386634,,,,
1069.3350,0.389828,,,,
1070.2992,0.392031,,,,
1071.2634,0.393066,,,,
1072.2277,0.392803,,,,
1073.1919,0.391157,,,,
1074.1561,0.388092,,,,
1075.1204,0.383624,,,,
1076.0846,0.377806,,,,
1077.0488,0.37072,,,,
1078.0131,0.362471,,,,
1078.9773,0.353197,,,,
1079.9415,0.343079,,,,
1080.9058,0.332352,,,,
1081.8700,0.321279,,,,
1082.8342,0.310139,,,,
1083.7985,0.299206,,,,
1084.7627,0.288759,,,,
1085.7269,0.279096,,,,
1086.6912,0.270526,,,,
1087.6554,0.263334,,,,
1088.6196,0.257721,,,,
1089.5839,0.253761,,,,
1090.5481,0.251385,,,,
1091.5123,0.250419,,,,
1092.4766,0.250635,,,,
1093.4408,0.251798,,,,
1094.4050,0.253671,,,,
1095.3693,0.256002,,,,
1096.3335,0.258503,,,,
1097.2977,0.260862,,,,
1098.2620,0.26279,,,,
1099.2262,0.264074,,,,
1100.1904,0.26461,,,,
1101.1547,0.264395,,,,
1102.1189,0.263488,,,,
1103.0831,0.26196,,,,
1104.0474,0.259864,,,,
1105.0116,0.257233,,,,
1105.9758,0.25409,,,,
1106.9401,0.250471,,,,
1107.9043,0.246441,,,,
1108.8685,0.24209,,,,
1109.8328,0.237533,,,,
1110.7970,0.232888,,,,
1111.7612,0.228263,,,,
1112.7255,0.223738,,,,
1113.6897,0.219352,,,,
1114.6539,0.215106,,,,
1115.6182,0.210985,,,,
1116.5824,0.206972,,,,
1117.5466,0.203068,,,,
1118.5109,0.199285,,,,
1119.4751,0.195632,,,,
1120.4393,0.192099,,,,
1121.4036,0.188648,,,,
1122.3678,0.185236,,,,
1123.3320,0.18184,,,,
1124.2963,0.178475,,,,
1125.2605,0.17519,,,,
1126.2247,0.172038,,,,
1127.1890,0.169041,,,,
1128.1532,0.166171,,,,
1129.1174,0.163368,,,,
1130.0817,0.16057,,,,
1131.0459,0.157751,,,,
1132.0101,0.154933,,,,
1132.9744,0.152181,,,,
1133.9386,0.14958,,,,
1134.9028,0.147215,,,,
1135.8671,0.145169,,,,
1136.8313,0.143524,,,,
1137.7955,0.14236,,,,
1138.7598,0.141738,,,,
1139.7240,0.141684,,,,
1140.6882,0.142156,,,,
1141.6525,0.143044,,,,
1142.6167,0.144175,,,,
1143.5809,0.145344,,,,
1144.5452,0.146345,,,,
1145.5094,0.147005,,,,
1146.4736,0.147198,,,,
1147.4379,0.14685,,,,
1148.4021,0.145926,,,,
1149.3663,0.144425,,,,
1150.3306,0.142368,,,,
1151.2948,0.13979,,,,
1152.2590,0.13674,,,,
1153.2233,0.133269,,,,
1154.1875,0.129429,,,,
1155.1517,0.125268,,,,
